Name,Price,Rating,Specifications,Link,Brand,Model,Title,Warranty,Box Contents,Type,Design,Open or closed back,Fit,Impedance,Max frequency response,Min frequency response,Eartip size,Weight,Colours,Dimensions,Noise cancellation,Replaceable earbuds,Call control,Music control,Connectivity,Bluetooth version,Range,Bluetooth features,Microphone,Playback time,Charging type,Charging time,Compatible Models,Sensitivity,Foldable Design,Battery type,Battery capacity,Standby time,Colour(s),Driver Size,Connector,Driver type,Bluetooth audio codec,Bluetooth profile,Magnet Material,Noise isolation,Series,LED headphones,Max power input,Tangle free,Noise reduction,Cord Material,Plug type,Cable length,Cord type,Driver Material,Headphone housing type,Mic frequency,Other control,Mic type,Echo reduction,Detachable cable,Multidriver,Carrying Case Type
Boat Airdopes 121 Pro Bluetooth Headset,₹899,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 32 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-121-pro-bluetooth-headset-msf601739,Boat,Airdopes 121 Pro,Boat Airdopes 121 Pro,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,"Black, Blue, Mint Green",,,Yes,Answer / End,Volume Control,Bluetooth,5.2,,Auto Pairing,Yes,32 Hours,,2 Hours,"Mobile Phone, PC, Tablet",,Yes,,400 mAh,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
Boult Audio K20 Bluetooth Earbuds,₹899,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 32 hrs Playback Time, 13mm Driver, Noise Isolation, 60 minute Charging Time",https://www.mysmartprice.com/audio/boult-audio-k20-bluetooth-earbuds-msf615661,Boult Audio,K20,Boult Audio K20,1 Year,"1 Pair of Earbuds, Charging Case, Charging Cable, User Manual, Warranty Card, Additional Pair of Ear Tips",Wireless,In ear,Closed Back,In the Ear,,,,Medium,36 gm,,Overall :570 x 200 x 500 mm,,,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,32 Hours,USB Type-C,60 Minute,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, White",13 mm,Bluetooth,,,,,Yes,,,,,,,,,,,,,,,,,,
Realme Buds Air 3 Neo Bluetooth Headset,"₹1,104",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-air-3-neo-bluetooth-headset-msf601725,Realme,Buds Air 3 Neo,Realme Buds Air 3 Neo,1 Year,"1 Pair of Earbuds with Charging Case, User Guide, Charging Cable, 4 Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",38 gm,", Galaxy White, Starry Blue",Overall :66.1 x 49.4 x 25.2 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-Polymer,460 mAh,,,,,Dynamic Driver,,A2DP  AVRCP,,,,,,,,,,,,,,,,,,,,
Apple AirPods Pro Bluetooth Earbuds,"₹24,990",4.5,"In ear Wireless Earbuds, Bluetooth v5.0, 4.5 hrs Playback Time, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/apple-airpods-pro-bluetooth-earbuds-msf603461,Apple,AirPods Pro,Apple AirPods Pro,,,Wireless,In ear,Closed Back,In the Ear,,,,"Large, Medium, Small",5.4 gm,White,,Yes,,Answer/End,Play/Pause,Bluetooth  Lightning,5.0,,,Yes,4.5 Hours,,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
Boat Immortal 131 Bluetooth Headset,"₹1,699",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-immortal-131-bluetooth-headset-msf601226,Boat,Immortal 131,Boat Immortal 131,1 Year,"1 Pair of Earbuds, Additional Ear Tips, Charging Cable, User Manual, Warrranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,", BlackSabre, WhiteSabre",,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,40 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,Yes,,400 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat Nirvana Ion Bluetooth Headset,"₹1,689",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 120 hrs Playback Time, 20mm, Dynamic Driver, Replaceable Earbuds, 2.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-nirvana-ion-bluetooth-headset-msf601229,Boat,Nirvana Ion,Boat Nirvana Ion,1 Year,"1 Pair Earbuds with Charging Case, Additional Eartips, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",45 gm,,Overall :17 x 32 x 26 mm,,Yes,Answer / End,Volume Control,,5.2,10 meter,,Yes,120 Hours,USB Type-C,2.5 Hours,"Mobile Phone, PC, Tablet",,Yes,,600 mAh,,"Black, White",20 mm,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Oneplus Nord Buds 2R Bluetooth Headset,"₹1,599",4.3,"In ear Wireless Earbuds, Bluetooth v5.3, 20 hrs Playback Time, 12.4mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/oneplus-nord-buds-2r-bluetooth-headset-msf612144,OnePlus,Nord Buds 2R,OnePlus Nord Buds 2R,1 Year,"1 Pair of Earbuds, Charging Case, User Manual Guide, Safety and Warranty Card, Charging Cable Type-C, Red Cable Club Card, 2 Pair of Additional Ear Tips",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",38 gm,,Eartips :28.5 x 20.2 x 23 mm  Carrying case :68.9 x 36.6 x 28.2 mm,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,20 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",111 dB/mw,,Li-ion,480 mAh,,"Triple Blue, Deep Grey",12.4 mm,Bluetooth,Dynamic Driver,,,,,OnePlus Nord,,,,,,,,,,,,,,,,,
Oneplus Nord Buds 2 Bluetooth Headset,"₹1,899",4.3,"In ear Wireless Earbuds, Bluetooth v5.3, 12.4mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/oneplus-nord-buds-2-bluetooth-headset-msf604443,OnePlus,Nord Buds 2,OnePlus Nord Buds 2,,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,"Thunder Gray, Lightning White",12.4 mm,Bluetooth,,,,,,OnePlus Nord,,,,,,,,,,,,,,,,,
PTron BassBuds Plus Bluetooth Headset,₹599,3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 12 hrs Playback Time, 8mm, Dynamic Driver, Noise Cancellation, 80 hrs standby time",https://www.mysmartprice.com/audio/ptron-bassbuds-plus-bluetooth-headset-msf602701,PTron,BassBuds Plus,PTron BassBuds Plus,1 Year,"Earbuds, Micro USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,,,"Black, Silver Black, Blue Black, Red Black",,Yes,,Answer/End,Play/Pause,Bluetooth  MicroUSB,5.0,10 meter,Auto Pairing,Yes,12 Hours,,1.2 Hours,"Media player, Mobile Phone, Tablet",,,Li-Polymer,300 mAh,80 Hours,,,,Dynamic Driver,,A2DP  AVRCP  HFP,,,,Yes,,,,,,,,,,,,,,,,
PTron Bassbuds Air Bluetooth Headset,₹449,3.4,"In ear Wireless Earbuds, Bluetooth v5.1, 32 hrs Playback Time, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-bassbuds-air-bluetooth-headset-msf613061,PTron,Bassbuds Air,PTron Bassbuds Air,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Charging Cable, 1 User Guide Card, 2 Pairs Extra Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",43 gm,,Overall :22 x 45 x 61 mm,,Yes,Answer / end,Volume Control,,5.1,10 meter,Auto Pairing,Yes,32 Hours,,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,,Blue,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
