Name,Price,Rating,Specifications,Link,Brand,Model,Title,Warranty,Box Contents,Type,Design,Open or closed back,Fit,Impedance,Max frequency response,Min frequency response,Eartip size,Weight,Colours,Dimensions,Noise cancellation,Replaceable earbuds,Call control,Music control,Connectivity,Bluetooth version,Range,Bluetooth features,Microphone,Playback time,Charging type,Charging time,Compatible Models,Sensitivity,Foldable Design,Battery type,Battery capacity,Standby time,Colour(s),Driver Size,Connector,Driver type,Bluetooth audio codec,Bluetooth profile,Magnet Material,Noise isolation,Series,LED headphones,Max power input,Tangle free,Noise reduction,Cord Material,Plug type,Cable length,Cord type,Driver Material,Headphone housing type,Mic frequency,Other control,Mic type,Echo reduction,Detachable cable,Multidriver,Carrying Case Type
Philips SHE3900 Headset,₹699,3.9,"In ear Wireless Earbuds, 8.6mm, Dynamic Driver",https://www.mysmartprice.com/audio/philips-she3900-headset-msf604426,Philips,SHE3900SL,Philips SHE3900,6 Months,,Wired,In ear,Closed Back,In the Ear,16 Ohms,22000 Hz,10 Hz,"Large, Medium, Small",11 gm,,Overall :21 x 13 x 13 mm,,,,,,,,,No,,,,"Media player, Mobile Phone, Tablet",107 dB/mw,,,,,Silver,8.6 mm,3.5 mm jack,Dynamic Driver,,,Neodymium,,,,20 mW,,,,Gold-plated Stereo Mini,1.2 Meter,Y shaped,,,,,,,,,
LG Tone Free FP8 Bluetooth Earbuds,"₹26,460",4.3,"In ear Wireless Earbuds, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/lg-tone-free-fp8-bluetooth-earbuds-msf604663,LG,Tone Free FP8,LG Tone Free FP8,,"Earbuds, Charging Case, User Manual, Warranty Car",Wireless,In ear,Closed Back,In the Ear,,,,,,White,,Yes,,Touch Control,,Bluetooth,,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
PTron Bassbuds Zen Bluetooth Headset,₹799,3.5,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/ptron-bassbuds-zen-bluetooth-headset-msf601326,PTron,Bassbuds Zen,PTron Bassbuds Zen,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Type-C Charging Cable, 1 User Guide Card & 2 Pairs Extra Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",44 gm,"Black, Blue",Overall :26 x 51 x 64 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.3,10 meter,Auto Pairing,Yes,50 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,400 mAh,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
PTron PlayBuds 2 Bluetooth Headset,₹799,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/ptron-playbuds-2-bluetooth-headset-msf613250,PTron,PlayBuds 2,PTron PlayBuds 2,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Charging Cable, 1 User Guide Card, 2 Pairs Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",42 gm,,Overall :30 x 47 x 62 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,45 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,400 mAh,,Black,13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
PTron Basspods 481 Bluetooth Headset,₹616,3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 4 hrs Playback Time, Dynamic Driver, Noise Cancellation, 100 hrs standby time",https://www.mysmartprice.com/audio/ptron-basspods-481-bluetooth-headset-msf604661,PTron,Basspods 481,PTron Basspods 481,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",,,,Yes,Yes,Answer/End,,,5.0,10 meter,,Yes,4 Hours,,,"Media player, Mobile Phone, Tablet",80 dB/mw,,,,100 Hours,White,,Bluetooth,Dynamic Driver,A2DP,,Neodymium,,,,,,,,,,,,,,,,,,,
Quantum Sonotrix X Bluetooth Headset,₹961,3.7,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/quantum-sonotrix-x-bluetooth-headset-msf602493,Quantum,Sonotrix X,Quantum Sonotrix X,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,Blue,,,Yes,Answer/End,Volume Control,Bluetooth,5.0,10 meter,,Yes,,USB Type-C,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
PTron Bassbuds Rush Bluetooth Headset,₹799,3.4,"In ear Wireless Earbuds, 35 hrs Playback Time, Call control, 1.5  Charging Time",https://www.mysmartprice.com/audio/ptron-bassbuds-rush-bluetooth-headset-msf601388,PTron,Bassbuds Rush,PTron Bassbuds Rush,1,"2 U Bluetooth Earbuds (Left and Right), 1 U Charging Case, 1 U Type-C Cable, 1 User Manual, 1 Warranty Card, 2 U (pairs) Eartips",Wireless,In ear canalphone,,In the Ear,,,,"Large, Medium, Small",,"Black, Green",Overall :58 x 56 x 33 mm,,,Answer / End,Volume Control,Bluetooth,,,,Yes,35 Hours,USB Type-C,1.5,"Mobile Phone, PC, Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS34 Headset,"₹6,734",3.7,"In ear Wireless Earbuds, 14.3mm Driver",https://www.mysmartprice.com/audio/panasonic-rp-hs34-headset-msf608315,Panasonic,RP-HS34,Panasonic RP-HS34,1 Year,"Headphone, User Manual, Warranty Card",Wired,In ear,,Clip-on,23 Ohms,25000 Hz,10 Hz,,,,,,,,,,,,,No,,,,"Media player, Mobile Phone, Tablet",112 dB/mw,,,,,"Black, Blue, Purple, Red, White",14.3 mm,3.5 mm jack,,,,Neodymium,,Sports,,200 mW,,,,Nickel,1.2 Meter,,,,,,,,,,
Boston Levin AirmaxPlus Bluetooth Headset,"₹1,049",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 30 hrs Playback Time, 13mm Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boston-levin-airmaxplus-bluetooth-headset-msf616222,Boston Levin,AirmaxPlus,Boston Levin AirmaxPlus,1 Year,"Earbuds,User Manual,Warranty Card,Additional Ear Buds",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",33 gm,,Overall :30 x 50 x 100 mm,Yes,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,30 Hours,USB,2 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,,"Black, Blue",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 141 Neo Bluetooth Headset,"₹1,399",3.6,"In ear Wireless Earbuds, Bluetooth v5.3, 43 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-141-neo-bluetooth-headset-msf612724,Boat,Airdopes 141 Neo,Boat Airdopes 141 Neo,1 Year,"Airdopes 141 neo, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",45 gm,,Overall :30 x 40 x 30 mm,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,43 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,480 mAh,,"Lunar White, Midnight Black, Space Blue, Dragonfly Cyan",10 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes Fuel Bluetooth Headset,"₹1,199",3.7,"In ear Wireless Earbuds, Bluetooth v5.3, 42 hrs Playback Time, 20mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-fuel-bluetooth-headset-msf611882,Boat,Airdopes Fuel,Boat Airdopes Fuel,1 Year,"Airdopes Fuel, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",45 gm,"Pearl White, Classic Black. Wanderer Maroon",Carrying case :25.5 x 59 x 48.8 mm  Overall :109 x 87.5 x 37 mm,,Yes,Answer / End,Volume Control,Bluetooth,5.3,10 meter,Auto Pairing,Yes,42 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,380 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 91 Bluetooth Headset,₹898,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 13mm Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-91-bluetooth-headset-msf616070,Boat,Airdopes 91,Boat Airdopes 91,1 Year,"Earbud, Charging Case, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,45 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,300 mAh,,"Active Black, Starry Blue, Mist Grey",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Noise Buds VS304 Bluetooth Earbuds,"₹1,299",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 35 hrs Playback Time, 13mm Driver, Call control",https://www.mysmartprice.com/audio/noise-buds-vs304-bluetooth-earbuds-msf601519,Noise,Buds VS304,Noise Buds VS304,1 Year,"1 Pair of Earbud with Charging Case, Charging Cable, User Manual, Warranty Registration Card",Wireless,In ear,Closed Back,In the Ear,,,,Medium,,"Black, White",,,,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,35 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise Buds Ace Bluetooth Earbuds,₹504,3.5,"In ear Wireless Earbuds, Bluetooth v5.2, 6 hrs Playback Time, 13mm, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/noise-buds-ace-bluetooth-earbuds-msf601527,Noise,Buds Ace,Noise Buds Ace,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear,Closed Back,In the Ear,,,,Medium,58 gm,"Black, Green, White",Overall :17 x 32 x 18 mm,,,Answer / End,Volume Control,Bluetooth,5.2,10 meter,,Yes,6 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Motorola Buds+ Bluetooth Headset,"₹9,999",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 38 hrs Playback Time, 17mm, Dynamic Driver, Replaceable Earbuds, 1 hrs Charging Time",https://www.mysmartprice.com/audio/motorola-buds-bluetooth-headset-msf616980,Motorola,Moto Buds+,Motorola Buds+,1 Year,"Earbud, Charging Case, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",43 gm,,Overall :59.87 x 48.97 x 24.84 mm,", Active Noise Cancellation",Yes,,,,5.3,10 meter,Auto Pairing,Yes,38 Hours,USB Type-C,1 Hours,"Mobile Phone, PC, Tablet",,,,510 mAh,,"Forest Grey, Beach Sand",17 mm,Bluetooth,Dynamic Driver,A2DP  HFP  HSP,,,,,,,,,,,,,,,,,,,,Yes,
Jabra Elite 7 Pro Bluetooth Headset,"₹7,999",3.8,"In ear Wireless Earbuds, Bluetooth v5.2, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/jabra-elite-7-pro-bluetooth-headset-msf602394,Jabra,Elite 7 Pro,Jabra Elite 7 Pro,,"Earbuds, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,Black,,Yes,Yes,Touch Control,,Bluetooth,5.2,10 meter,,Yes,,,,"Media player, Mobile Phone, Tablet",,,,,,,,,Dynamic Driver,,,Neodymium,,,,,,,,,,,,,,,,,,,
PTron Bassbuds NEO Bluetooth Headset,₹649,3.5,"In ear Wireless Earbuds, Bluetooth v5.3, 35 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/ptron-bassbuds-neo-bluetooth-headset-msf611598,PTron,Bassbuds NEO,PTron Bassbuds NEO,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Charging Cable, 1 User Guide Card, 2 Pairs Eartips",Wireless,In ear canalphone,,In the Ear,,,,"Large, Medium, Small",34 gm,"Black, Blue, Grey",Overall :25 x 45 x 60 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.3,10 meter,Auto Pairing,Yes,35 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 113 Bluetooth Headset,"₹1,799",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 24 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-113-bluetooth-headset-msf601483,Boat,Airdopes 113,Boat Airdopes 113,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",52 gm,"Black, Blue, White",Overall :26 x 47 x 62 mm,Yes,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,24 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,Yes,,300 mAh,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 172 Bluetooth Headset,"₹1,599",3.4,"In ear Wireless Earbuds, Bluetooth v5.2, 42 hrs Playback Time, 6mm Driver, Replaceable Earbuds, 90 minute Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-172-bluetooth-headset-msf615655,Boat,Airdopes 172,Boat Airdopes 172,1 Year,"1 Pair of Earbuds, Additional Ear Tips, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",37 gm,,Overall :43 x 26 x 61 mm,,Yes,,,,5.2,10 meter,Auto Pairing,Yes,42 Hours,USB Type-C,90 Minute,"Mobile Phone, PC, Tablet",,,Li-ion,300 mAh,,"Black, Blue, Red, Dark Cyan",6 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boult Audio AirBass ENCore X Bluetooth Headset,₹999,3.2,"In ear Wireless Earbuds, Bluetooth v5.1, 30 hrs Playback Time, 10mm Driver, Noise Cancellation, 168 hrs standby time",https://www.mysmartprice.com/audio/boult-audio-airbass-encore-x-bluetooth-headset-msf601939,Boult Audio,AirBass ENCore X,Boult Audio AirBass ENCore X,1 Year,"Charging Case, Earbuds, 2 Ear tips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",100 gm,"Black, White",Overall :27 x 52 x 56 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.1,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,168 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
JLAB Jbuds Air Pro Bluetooth Headset,"₹4,399",4.1,"In ear Wireless Earbuds, Bluetooth v5.1, 36 hrs Playback Time, 6mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/jlab-jbuds-air-pro-bluetooth-headset-msf613681,Jlab,Jbuds Air Pro,Jlab Jbuds Air Pro,2 Years,Wireless Charging Case,Wireless,In ear canalphone,Closed Back,In the Ear,16 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",132 gm,,Overall :37.5 x 39.3 x 72.8 mm,,Yes,Answer / End,Volume Control,,5.1,10 meter,Auto Pairing,Yes,36 Hours,,,"Mobile Phone, PC, Tablet",,,Li-Polymer,520 mAh,,Black,6 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
GOVO GOBUDS 920 Bluetooth Headset,"₹2,699",3.7,"In ear Wireless Earbuds, Bluetooth v5.1, 30 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/govo-gobuds-920-bluetooth-headset-msf601917,GOVO,GOBUDS 920,GOVO GOBUDS 920,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",47 gm,", Platinum Black",Overall :30 x 52 x 65 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.1,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,300 mAh,,,,,Dynamic Driver,,A2DP  AVRCP  HFP,,,,Yes,,,,,,,,,,,,,,,,
Boston Levin Storm 9 Bluetooth Headset,₹999,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 32 hrs Playback Time, Noise Cancellation, 100 hrs standby time, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boston-levin-storm-9-bluetooth-headset-msf613945,Boston Levin,Storm 9,Boston Levin Storm 9,1 Year,"1 Pair of Earbuds, Charging Case, USB Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,,,"Large, Medium, Small",110 gm,,,Yes,,Answer / End,Volume Control,,5.2,15 meter,Auto Pairing,Yes,32 Hours,,2 Hours,"Mobile Phone, PC, Tablet",101 dB/mw,No,Li-Polymer,,100 Hours,"Black, White",,Bluetooth,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
PTron Zenbuds Evo Bluetooth Headset,₹799,3.7,"In ear Wireless Earbuds, Bluetooth v5.3, 32 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/ptron-zenbuds-evo-bluetooth-headset-msf612722,PTron,Zenbuds Evo,PTron Zenbuds Evo,1 Year,"1 Pair Earbuds, 1 Charging Case, 1 Type-C Cable, 1 User Guide Card, 2 Pairs Extra Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",40 gm,,Overall :28 x 53 x 58 mm,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,32 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Blue",13 mm,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Wings X Fire Bluetooth Headset,₹999,3.7,"In ear Wireless Earbuds, 40 hrs Playback Time, Call control",https://www.mysmartprice.com/audio/wings-x-fire-bluetooth-headset-msf601391,Wings,X Fire,Wings X Fire,1 Year,"2 U Bluetooth Earbuds (Left and Right), 1 U Charging Case, 1 U Type-C Cable, 1 User Manual, 1 Warranty Card, 2 U (pairs) Eartips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",150 gm,Black,Overall :100 x 100 x 50 mm,,,Answer / End,Volume Control,Bluetooth,,,,Yes,40 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,400 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGG Liberty Buds Pro Bluetooth Headset,₹919,3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 30 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/tagg-liberty-buds-pro-bluetooth-headset-msf602033,Tagg,Liberty Buds Pro,Tagg Liberty Buds Pro,1 Year,"Earbuds, Charging Case, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",37 gm,"Black, White",Overall :26 x 49 x 61 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGG Rogue 500GT Bluetooth Headset,"₹1,999",3.4,"In ear Wireless Earbuds, Noise Cancellation",https://www.mysmartprice.com/audio/tagg-rogue-500gt-bluetooth-headset-msf601801,Tagg,Rogue 500GT,Tagg Rogue 500GT,,"Cable, Ear Tips, Charging Case",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",62 gm,"Black, White",Overall :30 x 57 x 70 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,,,Auto Pairing,Yes,,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOVO GOBUDS 902 Bluetooth Headset,"₹2,499",3.6,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 3 hrs Charging Time",https://www.mysmartprice.com/audio/govo-gobuds-902-bluetooth-headset-msf601916,GOVO,GOBUDS 902,GOVO GOBUDS 902,1 Year,"Earbuds, Charging Case, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",52 gm,", Platinum Black",Overall :27 x 38 x 69 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,20 Hours,USB Type-C,3 Hours,"Mobile Phone, PC, Tablet",,Yes,,300 mAh,,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
Edifier NeoBuds Pro Bluetooth Headset,"₹7,634",4.0,"In ear Wireless Earbuds, Bluetooth v5.0, 18 hrs Playback Time, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/edifier-neobuds-pro-bluetooth-headset-msf601204,Edifier,NeoBuds Pro,Edifier NeoBuds Pro,1 Year,Earbuds,Wireless,In ear canalphone,Closed Back,In the Ear,24 Ohms,40000 Hz,20 Hz,"Large, Medium, Small",56 gm,,Overall :120 x 70 x 120 mm,Yes,Yes,Answer / End,Volume Control,,5.0,10 meter,Auto Pairing,Yes,18 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,500 mAh,,"Black, White",,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Noise Buds VS204 Bluetooth Headset,"₹1,499",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 50 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/noise-buds-vs204-bluetooth-headset-msf601588,Noise,Buds VS204,Noise Buds VS204,,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",40 gm,,Overall :29 x 49 x 65 mm,,Yes,Answer / End,Volume Control,,5.2,10 meter,,Yes,50 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,,"Black, Blue, Green, White",13 mm,Bluetooth,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Buds FE Bluetooth Headset,"₹3,999",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, Replaceable Earbuds",https://www.mysmartprice.com/audio/samsung-galaxy-buds-fe-bluetooth-headset-msf613552,Samsung,Galaxy Buds FE,Samsung Galaxy Buds FE,1 Year,"Earbuds, Charging Csse, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",40 gm,,Eartips :19.2 x 17.1 x 22.2 mm  Carrying case :50 x 50 x 27.7 mm,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,479 mAh,,"Graphite, Mystic White",,Bluetooth,,A2DP  AVRCP  HFP,,,,,,,,,,,,,,,,,,,,,
Zebronics Zeb-Sound Bomb X1 Bluetooth Headset,"₹1,299",3.3,"Bluetooth v5.0, 6 hrs Playback Time, 6mm, Dynamic Driver, Call control, 30 hrs standby time",https://www.mysmartprice.com/audio/zebronics-zeb-sound-bomb-x1-bluetooth-headset-msf601422,Zebronics,Zeb-Sound Bomb X1,Zebronics Zeb-Sound Bomb X1,1 Year,"Cable, Wireless Charging Case",Wireless,,,,,,,"Large, Medium, Small",101 gm,Black,Overall :150 x 85 x 43 mm,,,Answer / End,Volume Control,Bluetooth,5.0,10 meter,Auto Pairing,Yes,6 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,30 Hours,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Wings Phantom 320 Bluetooth Headset,₹999,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 13mm Driver",https://www.mysmartprice.com/audio/wings-phantom-320-bluetooth-headset-msf616766,Wings,Phantom 320,Wings Phantom 320,1 Year,"1 Pair of Earbuds, User Manual, Charging Case, Charging Cable",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,,,,,,5.3,15 meter,,No,40 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,,,Black,13 mm,,,,,,,,,,,,,,,,,,,,,,,,
LG Tone Free HBS-FN7 Bluetooth Headset,"₹9,990",4.0,"In ear Wireless Earbuds, Bluetooth v5.0, 5 hrs Playback Time, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/lg-tone-free-hbs-fn7-bluetooth-headset-msf602932,LG,Tone Free HBS-FN7,LG Tone Free HBS-FN7,1 Year,"Earbuds, USB Type-C Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",5.6 gm,,Overall :32.7 x 16.2 x 26.8 mm,Yes,Yes,Answer/End,Play/Pause,,5.0,10 meter,"Auto Pairing, Media Remote",Yes,5 Hours,USB Type-C,2 Hours,"Media player, Mobile Phone, Tablet",,,Li-ion,390 mAh,,White,,Bluetooth,,A2DP  AVRCP  HFP  HSP,,,,,Yes,,,,,,,,,,,,,,,,Circular
Truke Air Buds Bluetooth Headset,₹799,3.5,"In ear Wireless Earbuds, Bluetooth v5.1, 48 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-air-buds-bluetooth-headset-msf602013,Truke,Air Buds,Truke Air Buds,1 Year,"1 Pair of Earbuds, Charging Case, Type-C Cable, User Manual, Warranty Card, 2 Pair of Ear tips",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",45 gm,,Overall :26 x 63 x 46.5 mm,Yes,Yes,Answer / End,Change Track,,5.1,10 meter,Auto Pairing,Yes,48 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-Polymer,300 mAh,180 Hours,Black,10 mm,Bluetooth,Dynamic Driver,,,,Yes,,,,,,,,,,,,,,,,,,
