Name,Price,Rating,Specifications,Link
Mivi DuoPods F40 Bluetooth Headset,"₹1,199",3.7,"In ear Wireless Earbuds, Bluetooth v5.1, 50 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds, 250 hrs standby time",https://www.mysmartprice.com/audio/mivi-duopods-f40-bluetooth-headset-msf601834
Truke Buds S1 Bluetooth Headset,"₹1,099",4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 10 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 100 hrs standby time",https://www.mysmartprice.com/audio/truke-buds-s1-bluetooth-headset-msf602727
Oneplus Buds Z2 Bluetooth Headset,"₹3,699",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 5 hrs Playback Time, 11mm Driver, Noise Cancellation, 27 hrs standby time",https://www.mysmartprice.com/audio/oneplus-buds-z2-bluetooth-headset-msf602377
Boult Audio X10 Bluetooth Headset,₹798,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 10mm Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boult-audio-x10-bluetooth-headset-msf613233
Truke Clarity 5 Bluetooth Headset,"₹1,199",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 80 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/truke-clarity-5-bluetooth-headset-msf613042
Wings Phantom Orangutan Bluetooth Headset,₹899,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 25 hrs Playback Time, 12mm Driver, Noise Cancellation, 250 hrs standby time",https://www.mysmartprice.com/audio/wings-phantom-orangutan-bluetooth-headset-msf613416
Boult Audio Z40 Pro Bluetooth Headset,"₹1,199",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 8 hrs Playback Time, 10mm, Dynamic Driver, Noise Isolation, 100 hrs standby time",https://www.mysmartprice.com/audio/boult-audio-z40-pro-bluetooth-headset-msf615663
Realme Buds Air 3 Bluetooth Headset,"₹2,224",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 7 hrs Playback Time, 10mm Driver, Noise Cancellation, 30 hrs standby time",https://www.mysmartprice.com/audio/realme-buds-air-3-bluetooth-headset-msf601974
Boult Audio X10 Pro Bluetooth Headset,₹798,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 45 hrs Playback Time, 10mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-x10-pro-bluetooth-headset-msf612734
Boult Audio Astra Bluetooth Headset,"₹1,299",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 48 hrs Playback Time, 13mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boult-audio-astra-bluetooth-headset-msf616797
Mivi DuoPods F60 Bluetooth Headset,"₹1,399",3.7,"In ear Wireless Earbuds, Bluetooth v5.1, 12mm Driver, Noise Cancellation, 250 hrs standby time, 1 hrs Charging Time",https://www.mysmartprice.com/audio/mivi-duopods-f60-bluetooth-headset-msf601895
Realme Buds T300 Bluetooth Headset,"₹2,299",4.3,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 12.4mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/realme-buds-t300-bluetooth-headset-msf613256
Boult Audio W40 Bluetooth Headset,"₹1,299",4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 48 hrs Playback Time, 13mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boult-audio-w40-bluetooth-headset-msf616802
Boult Audio W20 Bluetooth Headset,₹899,4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 32 hrs Playback Time, 13mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-w20-bluetooth-headset-msf613418
Truke Air Buds Lite Bluetooth Headset,₹699,3.9,"In ear Wireless Earbuds, Bluetooth v5.1, 48 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 180 hrs standby time",https://www.mysmartprice.com/audio/truke-air-buds-lite-bluetooth-headset-msf602083
Mivi DuoPods F70 Bluetooth Headset,"₹1,299",3.9,"In ear Wireless Earbuds, Bluetooth v5.1, 50 hrs Playback Time, 12mm, Dynamic Driver, Noise Cancellation, 250 hrs standby time",https://www.mysmartprice.com/audio/mivi-duopods-f70-bluetooth-headset-msf601654
Samsung Galaxy Buds Bluetooth Earbuds,"₹6,999",4.5,"In ear Wireless Earbuds, Bluetooth v5.0, 6 hrs Playback Time, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/samsung-galaxy-buds-bluetooth-earbuds-msf603702
Mivi DuoPods D3 Bluetooth Headset,₹799,3.9,In-the-ear Earbud,https://www.mysmartprice.com/audio/mivi-duopods-d3-bluetooth-headset-msf612892
JBL Endurance RunBT Bluetooth Headset,₹414,4.3,"In ear Wireless Earbuds, Bluetooth v4.1, 6 hrs Playback Time, 8.2mm, Dynamic Driver, Tangle Free, 24 hrs standby time",https://www.mysmartprice.com/audio/jbl-endurance-runbt-bluetooth-headset-msf603004
JBL Tune 125TWS Bluetooth Headset,"₹5,499",4.3,"In ear Wireless Earbuds, Bluetooth v5.0, 8 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 32 hrs standby time",https://www.mysmartprice.com/audio/jbl-tune-125tws-bluetooth-headset-msf603052
Noise Buds VS303 Bluetooth Headset,"₹2,023",4.0,"In ear Wireless Earbuds, 13mm, Dynamic Driver, Call control",https://www.mysmartprice.com/audio/noise-buds-vs303-bluetooth-headset-msf602366
Oneplus Nord Buds CE Bluetooth Headset,"₹1,839",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 4.5  Playback Time, 13.4mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-nord-buds-ce-bluetooth-headset-msf601712
Nothing Ear 1 Bluetooth Headset,"₹4,999",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 64 hrs Playback Time, 11.6mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/nothing-ear-1-bluetooth-headset-msf602574
JBL Tune 230NC Bluetooth Headset,"₹2,589",3.7,"In ear Wireless Earbuds, Bluetooth v5.2, 40 hrs Playback Time, 6mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/jbl-tune-230nc-bluetooth-headset-msf602391
Bose Sport Earbuds Bluetooth Headset,"₹15,999",3.9,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/bose-sport-earbuds-bluetooth-headset-msf603086
Noise Buds VS102 Neo Bluetooth Headset,"₹1,299",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 33 hrs Playback Time, 11mm Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/noise-buds-vs102-neo-bluetooth-headset-msf613045
Anker Soundcore R50i Bluetooth Headset,"₹1,399",4.2,"In ear Wireless Earbuds, Bluetooth v5.3, 30 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/anker-soundcore-r50i-bluetooth-headset-msf613656
